"","created_at","text"
"68",2020-07-26,"spain is scrambling to stay ahead of new outbreaks of the coronavirus that prompted the uk to impose a quarantine on travelers returning from the country"
"69",2020-07-26,"the euro area economy is set for a sprightlier recovery from crisis than the us thanks to starkly different responses to the coronavirus"
"70",2020-07-26,"mexico is raising its estimate for the death toll for about twothirds of the country by between midmarch and late june following the coronavirus outbreak according to health officials"
"71",2020-07-26,"how do people catch covid here's what experts say"
"72",2020-07-26,"president trump has reset his approach to the coronavirus in a bid to revive sinking poll numbers but with days until the election his campaign may need more than a change in tone to reverse its slide"
"73",2020-07-26,"unsung immune cells take over when coronavirus antibodies wane"
"74",2020-07-26,"europe's economy for once is set for a stronger recovery from crisis than the us thanks to starkly different responses to the coronavirus"
"75",2020-07-26,"the african development bank approved loans and grants for several nations to ward off the coronavirus pandemic"
"76",2020-07-26,"florida reports new coronavirus cases"
"77",2020-07-26,"the uk pauses reporting coronavirus deaths to review methodology"
"78",2020-07-26,"more americans are wearing masks to avoid covid infection"
"79",2020-07-26,"how do people catch covid here's what experts say"
"80",2020-07-26,"unsung immune cells take over when coronavirus antibodies wane"
"81",2020-07-26,"how do people catch covid here's what experts are saying about the route of contagion"
"82",2020-07-26,"the world's richest are looking to buy access to citizenship in covid safe havens"
"83",2020-07-26,"dating in the age of covid"
"84",2020-07-26,"opening schools does not spread coronavirus much nordic study suggests"
"85",2020-07-26,"the south korean pharmaceutical company backed by bill gates may be capable of producing million coronavirus vaccine kits by next june the microsoft cofounder said"
"86",2020-07-26,"nightclubs bars and beaches some of the most beloved summer venues in spain are facing new lockdown restrictions after turning into coronavirus hot spots via ap"
"87",2020-07-26,"these elite contact tracers show the world how to beat covid"
"88",2020-07-26,"un proposes temporary basic income that could stem the spread of the coronavirus pandemic by allowing the world's poorest people to stay home"
"89",2020-07-26,"the south korean pharmaceutical company backed by bill gates may be capable of producing million coronavirus vaccine kits by next june the microsoft cofounder said"
"90",2020-07-26,"dogs with a few days of training are capable of identifying people infected with the coronavirus according to a new study"
"91",2020-07-26,"a coronavirus vaccine that requires each person to get two doses could complicate efforts to immunize billions of people"
"92",2020-07-26,"corruption is undermining south africa's billion coronavirus relief package via ap"
"93",2020-07-26,"spain is scrambling to stay ahead of new outbreaks of the coronavirus that prompted the uk to impose a quarantine on travelers returning from the country"
"94",2020-07-26,"a study shows the cold and stale air at a german slaughterhouse allowed coronavirus particles to jump more than feet"
"95",2020-07-26,"president trump has reset his approach to the coronavirus in a bid to revive sinking poll numbers but with days until the election his campaign may need more than a change in tone to reverse its slide"
"96",2020-07-26,"recovering from covid may not offer much protection from future infections particularly for those with only a mild case researchers say in the new england journal of medicine"
"97",2020-07-26,"how do people catch covid here's what experts are saying about the route of contagion"
"98",2020-07-26,"these elite contact tracers show the world how to beat covid"
"99",2020-07-26,"masks are loathed in texas's small towns while covid deaths surge"
"100",2020-07-26,"older children are more likely to spread covid within a household than younger children and adults according to a new study of patients in south korea"
"101",2020-07-26,"it might take two jabs to protect you from covid but a doubleshot vaccine could multiply the challenges of immunizing billions of people"
"102",2020-07-26,"most of the eu's banks are strong enough to survive the impact of the coronavirus crisis according to ecb vice president luis de guindos"
"103",2020-07-26,"world's richest looking to buy access to citizenship in covid safe havens"
"104",2020-07-26,"more americans are wearing masks to avoid covid infection"
"105",2020-07-26,"to fill more planes emirates is offering to cover the medical expenses of its passengers should they be diagnosed with covid while away from home"
"106",2020-07-26,"the number of coronavirus infections in the philippines surpassed a level that increases the risk of stricter quarantine measures if the trend continues"
"107",2020-07-26,"the treasury is reportedly in talks with the uk's largest banks about a plan to tackle billions of pounds of bad debts expected under the government's coronavirus loans program for small businesses"
"108",2020-07-26,"opening schools does not spread coronavirus much nordic study suggests"
"109",2020-07-26,"south africa's largest property and casualty insurer will pay as much as one billion rand in relief to clients with businessinterruption cover hit financially by the coronavirus pandemic"
"110",2020-07-26,"the south korean pharmaceutical company backed by bill gates may be capable of producing million coronavirus vaccine kits by next june the microsoft cofounder said"
"111",2020-07-26,"how do people catch covid here's what experts are saying about the route of contagion"
"112",2020-07-26,"un proposes temporary basic income that could stem the spread of the coronavirus pandemic by allowing the world's poorest people to stay home"
"113",2020-07-26,"scores of members of russia's business and political elite have been given early access to an experimental vaccine against covid"
"114",2020-07-26,"royal bank of scotland tells most employees to work from home until next year as a precaution against the lingering coronavirus pandemic"
"115",2020-07-26,"the african development bank approves loans and grants for several nations to ward off the covid"
"116",2020-07-26,"two doses of a coronavirus vaccine may be more effective than one but doubling the number of jabs per person raises a new challenge"
"117",2020-07-26,"dogs with a few days of training are capable of identifying people infected with the coronavirus according to a new study"
"118",2020-07-26,"spain is scrambling to stay ahead of new outbreaks of the coronavirus that prompted the uk to impose a quarantine on travelers returning from the country"
"119",2020-07-26,"covid is adding to the despair of many warweary young people across the arab world via ap"
"120",2020-07-26,"south africa is relaxing its loan guarantee rules in an effort to improve the flow of finance to businesses hit by covid"
"121",2020-07-26,"nightclubs bars and beaches some of spain's most beloved summer venues are facing new lockdown restrictions after turning into coronavirus hot spots via ap"
"122",2020-07-26,"cold and stale air at a meat plant allowed coronavirus particles to jump more than feet a study showed"
"123",2020-07-26,"catching a mild case of covid may not offer much lasting protection from reinfection as the antibodies fade rapidly a new report says"
"124",2020-07-26,"there will be another wave and it will be very serious most of the world may face covid without a vaccine"
"125",2020-07-26,"europe's economy is set to bounce back from coronavirus quicker than the us upending the previous role of each region"
"126",2020-07-26,"south africa's minister of trade industry and competition ebrahim patel tested positive for covid"
"127",2020-07-26,"commercial bank of qatar will build buffers against risk to protect itself from the fallout of the coronavirus pandemic"
"128",2020-07-26,"global cases of coronavirus exceeded million"
"129",2020-07-26,"teens and tweens are more likely to spread covid than younger children and adults a new study from south korea finds"
"130",2020-07-26,"australia's victoria state reported a daily high in the number of deaths from the coronavirus and another surge in infections"
"131",2020-07-26,"the south korean pharmaceutical company backed by bill gates may be capable of producing million coronavirus vaccine kits by next june the microsoft cofounder said"
"132",2020-07-26,"how do people catch covid here's what experts are saying about the route of contagion"
"133",2020-07-26,"when it comes to protecting the world from the coronavirus two doses of a vaccine may be better than one but doubling the number of jabs each person needs could complicate efforts to immunize billions of people"
"134",2020-07-26,"these elite contact tracers show the world how to beat covid"
"135",2020-07-26,"unsung immune cells take over when coronavirus antibodies wane"
"136",2020-07-26,"north korea locked down a city near its border with south korea after it found a person who may be infected with the coronavirus kcna reports"
"137",2020-07-25,"south carolina reports more coronavirus deaths a record"
"138",2020-07-25,"here's the latest on the coronavirus pandemic"
"139",2020-07-25,"just in there's a suspected coronavirus case in north korea"
"140",2020-07-25,"dating in the age of covid"
"141",2020-07-25,"these elite contact tracers show the world how to beat covid"
"142",2020-07-25,"just in florida passes new york as the state with the secondhighest number of total coronavirus cases"
"143",2020-07-25,"dogs with a few days of training are capable of identifying people infected with the coronavirus according to a new study"
"144",2020-07-25,"the world's supply chain isn't ready for a covid vaccine"
"145",2020-07-25,"california reports more than new covid cases"
"146",2020-07-25,"arizona reports new coronavirus cases"
"147",2020-07-25,"in the vast expanses of rural texas coronavirus is creeping in like the dust and like the dust few pay it much mind"
"148",2020-07-25,"recovering from covid may not offer much lasting protection from future infections for those with only mild cases according to a report that suggests caution regarding socalled herd immunity as well as the durability of vaccines"
"149",2020-07-25,"un proposes temporary basic income that could stem the spread of the coronavirus pandemic by allowing the world's poorest people to stay home"
"150",2020-07-25,"the rich are looking to buy access to covid safe havens"
"151",2020-07-25,"dogs with a few days of training are capable of identifying people infected with the coronavirus according to a new study"
"152",2020-07-25,"how can i get it the evidence on coronavirus transmission"
"153",2020-07-25,"a coronavirus vaccine the university of oxford is developing with astrazeneca shows promising results"
"154",2020-07-25,"cold and stale air at a meat plant allowed coronavirus particles to jump more than feet a study showed"
"155",2020-07-25,"opening schools does not spread coronavirus much nordic study suggests"
"156",2020-07-25,"catching a mild case of covid may not offer much lasting protection from reinfection as the antibodies fade rapidly a new report says"
"157",2020-07-25,"royal bank of scotland tells most employees to work from home until next year as a precaution against the lingering coronavirus pandemic"
"158",2020-07-25,"brazil's president jair bolsonaro tested negative for covid the fourth time he took the rtpcr test after he was contaminated on july"
"159",2020-07-25,"world's richest looking to buy access to citizenship in covid safe havens"
"160",2020-07-25,"coronavirus latest brazil's president bolsonaro tests negative cases hit another record in hong kong german health authority warns about tourists returning home"
"161",2020-07-25,"two doses of a coronavirus vaccine may be more effective than one but doubling the number of jabs per person raises a new challenge"
"162",2020-07-25,"teens and tweens are more likely to spread covid than younger children and adults a new study from south korea finds"
"163",2020-07-25,"how do people catch covid here's what experts are saying about the route of contagion"
"164",2020-07-25,"scores of members of russia's business and political elite have been given early access to an experimental vaccine against covid"
"165",2020-07-25,"a coronavirus vaccine the university of oxford is developing with astrazeneca shows promising results"
"166",2020-07-25,"un proposes temporary basic income that could stem the spread of the coronavirus pandemic by allowing the world's poorest people to stay home"
"167",2020-07-25,"ministers responsible for trade in asia pacific pledged saturday to facilitate essential movement across borders even as coronavirus cases surge across the region"
"168",2020-07-25,"south africa's hollard insurance said it will provide relief to small and medium businesses hit financially by a lockdown to curb the spread of the coronavirus"
"169",2020-07-25,"south african property and casualty insurers agreed to consider providing interim relief to customers hit by a national lockdown to contain the coronavirus"
"170",2020-07-25,"to fill more planes emirates is offering to cover the medical expenses of its passengers should they be diagnosed with covid while away from home"
"171",2020-07-25,"opening schools does not spread coronavirus much nordic study suggests"
"172",2020-07-25,"there will be another wave and it will be very serious most of the world may face covid without a vaccine"
"173",2020-07-25,"dogs with a few days of training are capable of identifying people infected with the coronavirus according to a new study"
"174",2020-07-25,"the world has dreamed about a covid vaccine but even when it comes there are big questions over how it can reach the world"
"175",2020-07-25,"vietnam confirmed its first locallytransmitted case of the coronavirus in more than three months"
"176",2020-07-25,"recovering from covid may not offer much protection from future infections particularly for those with only a mild case researchers say in the new england journal of medicine"
"177",2020-07-25,"it might take two jabs to protect you from covid but a doubleshot vaccine could multiply the challenges of immunizing billions of people"
"178",2020-07-25,"older children are more likely to spread covid within a household than younger children and adults according to a new study of patients in south korea"
"179",2020-07-25,"royal bank of scotland tells most employees to work from home until next year as a precaution against the lingering coronavirus pandemic"
"180",2020-07-25,"how do people catch covid here's what experts are saying about the route of contagion"
"181",2020-07-25,"in the vast expanses of rural texas coronavirus is creeping in like the dust and like the dust few pay it much mind"
"182",2020-07-25,"curevac a competitor in the race for a coronavirus vaccine has filed for an ipo in the us"
"183",2020-07-25,"divided us supreme court rejected an effort by a nevada church to ease limits on the size of its services during the coronavirus pandemic"
"184",2020-07-24,"mitch mcconnell's coronavirus rescue bill brinkmanship now looks more like a significant miscalculation"
"185",2020-07-24,"masks are loathed in texas's small towns while covid deaths surge"
"186",2020-07-24,"another coronavirus vaccine shows early promise"
"187",2020-07-24,"this is not a witch hunt to root out anyone who was drinking underage new jersey governor phil murphy pleaded with teenage party guests in his hometown to stop resisting contact tracers on the trail of a novel coronavirus outbreak among some attendees"
"188",2020-07-24,"corporate canada has a message for investors the worst of the covid crisis may be behind us"
"189",2020-07-24,"once the epicenter of the coronavirus pandemic in the us new york city has been attempting a gradual return to normal but six weeks and four phases of reopening since the lockdown lifted the city remains a profoundly changed place"
"190",2020-07-24,"novavax's early covid vaccine results will probably come out sometime next week what they say will likely determine if the stock's surge holds"
"191",2020-07-24,"a record number of canada's largest businesses are seeking protection from creditors amid the coronavirus pandemic"
"192",2020-07-24,"next week how has covid accelerated manufacturing emilychangtv sits down with ellenkullman ceo of the world's leading digital manufacturing company carbon do not miss their conversation on postpandemic production for details poweringproduct"
"193",2020-07-24,"as the coronavirus collides with a summer heat wave cities like miami houston and phoenix face two crises that target the same vulnerable communities via citylab"
"194",2020-07-24,"curevac a competitor in the race for a coronavirus vaccine has filed for an ipo in the us"
"195",2020-07-24,"latin america now accounts for of the world's deadliest covid hot spots some of those places are only getting worse"
"196",2020-07-24,"british airways owner iag said it's evaluating a share sale to raise as much as billion euros to strengthen its balance sheet and ride out the coronavirus crisis"
"197",2020-07-24,"masks are loathed in texas's small towns while covid deaths surge"
"198",2020-07-24,"people arriving from places deemed highrisk for covid will be able to get tested directly at german airports"
"199",2020-07-24,"the british pub is a global icon in significant decline made even worse by covid but the city of london is betting it is not dead yet"
"200",2020-07-24,"the global trade funk dragged into may even as coronavirus lockdowns started easing"
"201",2020-07-24,"donald trump seeks to revive his sagging campaign by canceling the convention for his party to nominate him for a second term as host state florida posts record coronavirus deaths"
"202",2020-07-24,"verizon has enrolled its covidaffected customers into extended payment plans"
"203",2020-07-24,"optimism over the development of a coronavirus vaccine and an agreement by eu leaders on a stimulus package underpin emerging markets through another turbulent week"
"204",2020-07-24,"one of the world's wealthiest monarchs is using coronavirus to complete a reversal of democratic reforms that made the country a standout in a turbulent region"
"205",2020-07-24,"here's what you need to know in washington majority leader mcconnell waited until a key part of coronavirus aid was about to expire before drafting the gop version of the next relief bill a decision that increasingly looks like a miscalculation"
"206",2020-07-24,"chile's government will enact a controversial but popular bill allowing early pension withdrawals amid the coronavirus pandemic"
"207",2020-07-24,"british airways owner iag renews an airmiles deal with creditcard giant american express swelling the group's coffers as the coronavirus crisis weighs on travel demand"
"208",2020-07-24,"uk retail sales jump by a record as a lifting of coronavirus restrictions allows more stores to open up"
"209",2020-07-24,"there are more delays at the box office due to covid"
"210",2020-07-24,"mapping what coronavirus reopening looks like in us centermost populous city tale of race and wealth great viz read by andretartar copyright jsonkao copyright plmrry copyright jeremycflin copyright lenapopina copyright eugenereznik copyright"
"211",2020-07-24,"boris johnson warns the uk will still be dealing with the coronavirus pandemic in mid and says his government is preparing for a second wave of infections over the winter"
"212",2020-07-24,"donald trump seeks to revive his sagging campaign by canceling the convention for his party to nominate him for a second term as host state florida posts record coronavirus deaths"
"213",2020-07-24,"british airways owner iag renews an airmiles deal with creditcard giant american express swelling the group's coffers as the coronavirus crisis weighs on travel demand"
"214",2020-07-24,"a study shows the cold and stale air at a german slaughterhouse allowed coronavirus particles to jump more than feet"
"215",2020-07-24,"imperial college london's covid vaccine trial is expanding to additional sites throughout england"
"216",2020-07-24,"optimism over the development of a coronavirus vaccine and an agreement by eu leaders on a stimulus package underpin emerging markets through another turbulent week"
"217",2020-07-24,"vietnamese stocks fall after the country's first possible local coronavirus case since april"
"218",2020-07-24,"chile's government will enact a controversial but popular bill allowing early pension withdrawals amid the coronavirus pandemic"
"219",2020-07-24,"how soon could a covid vaccine actually arrive"
"220",2020-07-24,"just in germany takes a step forward in its recovery from the coronavirus slump as pmi shows growth for first time in five months"
"221",2020-07-24,"the uk announces its biggest ever flu vaccination program for the coming winter as it seeks to protect the nhs from a possible second wave of coronavirus"
"222",2020-07-24,"just in uk retail sales jump by a record as a lifting of coronavirus restrictions allows more stores to open up"
"223",2020-07-24,"there are more delays at the box office due to covid"
"224",2020-07-24,"the deep state is using the coronavirus crisis to claw back control in one of the world's oldest kingdoms"
"225",2020-07-24,"us coronavirus cases surpass million new york congresswoma alexandria ocasiocortez calls out abusive treatment by men and scientists capture the firstever picture of a solar system like our own read more in the latest quicktake newsletter"
"226",2020-07-24,"coronavirus update cases exceed million globally deaths pass australia's victoria state reports a mounting death toll from the virus south korea reports new cases us cases surpass million"
"227",2020-07-24,"about airline workers have been fired furloughed or told they may lose their jobs due to the coronavirus"
"228",2020-07-24,"what's the best homemade face mask to curb covid you'll need at least layers scientists globalbiosec unsw in australia found using a led lighting system and highspeed video camera more business"
"229",2020-07-24,"the uk announces its biggest ever flu vaccination program for the coming winter as it seeks to protect the nhs from a possible second wave of coronavirus"
"230",2020-07-24,"trump says the uschina trade deal means much less to me because of what he described as the chinese role in spreading the coronavirus"
"231",2020-07-24,"it might take two jabs to protect you from covid but a doubleshot vaccine could multiply the challenges of immunizing billions of people"
"232",2020-07-23,"mothers with covid are unlikely to pass the virus to their newborns as long as the usual precautions are taken new research from the us suggests"
"233",2020-07-23,"trump says he's canceling the republican convention scheduled for next month in florida as the coronavirus outbreak continues to grow"
"234",2020-07-23,"about airline workers have been fired furloughed or told they may lose their jobs due to the coronavirus"
"235",2020-07-23,"testing shortcomings are making it more difficult to get a clear picture of the us coronavirus pandemic"
"236",2020-07-23,"breaking us coronavirus cases surpassed million"
"237",2020-07-23,"washington nationals left fielder juan soto has tested positive for covid"
"238",2020-07-23,"with fall classes in limbo in the us desperate parents are scrambling to form microschools and covidsafe learning pods but who is getting left behind via citylab"
"239",2020-07-23,"bolivia suspended its presidential election for a second time after a spike in covid infections"
"240",2020-07-23,"a study shows the cold and stale air at a german slaughterhouse allowed coronavirus particles to jump more than feet"
"241",2020-07-23,"is there now broader acceptance that cyberattacks can not be avoided verizonbusiness tamierwinvz tells kartikaym covid created the moment that said you have to go digital and when you acknowledge that then you have no choice but to build security in optimizingsecurity"
"242",2020-07-23,"ghana's budget deficit will be more than double the initial forecast due to the impact of a drop in oil prices and the coronavirus pandemic"
"243",2020-07-23,"technology's kartikaym talks with evp amp group ceo verizonbusiness tamierwinvz about how cybercrime has been given the opportunity to thrive during covid optimizingsecurity"
"244",2020-07-23,"the coronavirus has driven people and businesses from new york city and we have to get them back governor andrew cuomo says"
"245",2020-07-23,"swedish ceo at front line of covid crisis slams national policy"
"246",2020-07-23,"the us probably has about coronavirus cases per day a health and human services official says"
"247",2020-07-23,"south africa plans to shutter schools for a second time as the number of covid cases surges"
"248",2020-07-23,"cybersecurity team lead business andrew martin talks with cofounder amp cto duosec jonoberheide about potential dangers of cyber attacks the coronavirus has been a boon for hackers optimizingsecurity"
"249",2020-07-23,"more than immigrant detainees in the department of homeland security's custody have contracted the virus portland is a distraction from what the agency should actually be doing containing the covid pandemic"
"250",2020-07-23,"lloyd's of london the world's largest insurance market plans to begin offering coverage of coronavirus vaccine deliveries"
"251",2020-07-23,"more than health workers in africa now have coronavirus the who says"
"252",2020-07-23,"florida posted a record new covid deaths"
"253",2020-07-23,"atampt said regular mobilephone subscribers stopped paying for their service due to the covid crisis"
"254",2020-07-23,"to fill more planes emirates is offering to cover the medical expenses of its passengers should they be diagnosed with covid while away from home"
"255",2020-07-23,"new china will provide a billion loan for latin american and caribbean countries to have access to its covid vaccine"
"256",2020-07-23,"india is likely to miss its budget estimates as the coronavirus crisis strains government's finances a top government official says"
"257",2020-07-23,"today we are having important conversations on keeping your data secure while working through the challenges of covid with duosec's jonoberheide hackerone's senorarroz onelogin's vrpegueros amp verizonbusiness' tamierwinvz optimizingsecurity"
"258",2020-07-23,"when the discussion turns to which countries have responded best to covid those most often mentioned are taiwan new zealand vietnam tylercowen would like to make a more surprising nomination the uk"
"259",2020-07-23,"tokyo finds around new coronavirus cases on thursday a singleday record according to japanese media reports"
"260",2020-07-23,"bond holders could lose billion as a consequence of us lawmakers' letting millions of homeowners delay their mortgage payments during the coronavirus pandemic"
"261",2020-07-23,"the cost of coronavirus for insurers is mounting"
"262",2020-07-23,"israel's parliament gives the government sweeping powers to combat a resurgent coronavirus outbreak"
"263",2020-07-23,"since the coronavirus pandemic began late last year doctors have warned that infections could come in waves that prediction is now playing out across the us"
"264",2020-07-23,"a return of covid in hong kong is a warning to others"
"265",2020-07-23,"things jobless claims million covid cases huge day for earnings markets rise coming up"
"266",2020-07-23,"the asia pacific's coronavirus resurgences reached new heights this week in a sign containment is becoming more challenging across the world"
"267",2020-07-23,"private demand for coronavirus tests from hong kong residents cannot be currently met the city's largest private laboratory says"
"268",2020-07-23,"new china will provide a billion loan for latin american and caribbean countries to have access to its covid vaccine"
"269",2020-07-23,"india is likely to miss its budget estimates as the coronavirus crisis strains government's finances a top government official says"
"270",2020-07-23,"israel's parliament gives the government sweeping powers to combat a resurgent coronavirus outbreak"
"271",2020-07-23,"understanding how coronavirus has changed how we buy sell and communicate is essential to all businessesfrom the largest corporation to the selfemployed read our explainer and sign up for updates direct to your inbox"
"272",2020-07-23,"tokyo finds around new coronavirus cases on thursday a singleday record according to japanese media reports"
"273",2020-07-23,"italy's government approved a proposal for about billion in extra spending as it battles to rescue an economy devastated by the coronavirus pandemic"
"274",2020-07-23,"it might take two jabs to protect you from covid but a doubleshot vaccine could multiply the challenges of immunizing billions of people"
"275",2020-07-23,"unsung immune cells take over when coronavirus antibodies wane"
"276",2020-07-23,"the coronavirus is spreading after too many states backed away from containment efforts noahpinion says that makes new lockdowns inevitable via bopinion"
"277",2020-07-23,"un proposes temporary basic income that could stem the spread of the coronavirus pandemic by allowing the world's poorest people to stay home"
"278",2020-07-23,"global coronavirus cases top million us closes china's consulate in houston and the last qantas boeing leaves a flourish over australia read more in the latest newsletter from quicktake quicktake"
"279",2020-07-23,"coronavirus latest worldwide cases reach million deaths pass south korea's economy falls into a recession in the second quarter australia's budget deficit will hit a postwar record the government says"
"280",2020-07-23,"south africa secures a loan of about billion rand million from the african development bank to assist with tackling the coronavirus"
"281",2020-07-23,"australia's victoria state records new coronavirus cases"
